ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-07-29,99.38271585260244,68.03004566506955,140.58857911556868,99.38271585260244,99.38271585260244,6.443759985838465,6.443759985838465,6.443759985838465,9.696665871217986,9.696665871217986,9.696665871217986,-3.2529058853795214,-3.2529058853795214,-3.2529058853795214,0.0,0.0,0.0,105.82647583844091
2016-07-30,99.39945032606971,65.05291337616548,133.8435810005973,99.39945032606971,99.39945032606971,0.28127337323654644,0.28127337323654644,0.28127337323654644,2.25966886701859,2.25966886701859,2.25966886701859,-1.9783954937820434,-1.9783954937820434,-1.9783954937820434,0.0,0.0,0.0,99.68072369930626
2016-07-31,99.41618479953698,49.95452630046243,123.16217620012765,99.41618479953698,99.41618479953698,-11.750681577194628,-11.750681577194628,-11.750681577194628,-10.932887934223029,-10.932887934223029,-10.932887934223029,-0.8177936429716006,-0.8177936429716006,-0.8177936429716006,0.0,0.0,0.0,87.66550322234235
2016-08-01,99.43291927300425,74.06990847989013,146.52097624343278,99.43291927300425,99.43291927300425,11.430829743272684,11.430829743272684,11.430829743272684,11.223608935720575,11.223608935720575,11.223608935720575,0.2072208075521096,0.2072208075521096,0.2072208075521096,0.0,0.0,0.0,110.86374901627693
2016-08-02,99.44965374647151,52.76172397462435,124.37291172912063,99.44965374647151,99.44965374647151,-11.534004510292387,-11.534004510292387,-11.534004510292387,-12.61272436729861,-12.61272436729861,-12.61272436729861,1.0787198570062226,1.0787198570062226,1.0787198570062226,0.0,0.0,0.0,87.91564923617912
2016-08-03,99.46638821993878,61.636580934316605,135.45819596464148,99.46638821993878,99.46638821993878,-1.762753038278124,-1.762753038278124,-1.762753038278124,-3.5457513719327167,-3.5457513719327167,-3.5457513719327167,1.782998333654593,1.782998333654593,1.782998333654593,0.0,0.0,0.0,97.70363518166066
2016-08-04,99.48312269340605,69.9698401523296,142.54093424356964,99.48312269340605,99.48312269340605,6.222355569405232,6.222355569405232,6.222355569405232,3.9114199995162298,3.9114199995162298,3.9114199995162298,2.310935569889,2.310935569889,2.310935569889,0.0,0.0,0.0,105.70547826281128
2016-08-05,99.4998571668733,78.97386458028464,146.9525207302389,99.4998571668733,99.4998571668733,12.354902128037711,12.354902128037711,12.354902128037711,9.696665871139686,9.696665871139686,9.696665871139686,2.658236256898024,2.658236256898024,2.658236256898024,0.0,0.0,0.0,111.854759294911
2016-08-06,99.51659164034056,67.81907235137263,143.1325940044961,99.51659164034056,99.51659164034056,5.085212111025357,5.085212111025357,5.085212111025357,2.259668867093585,2.259668867093585,2.259668867093585,2.8255432439317723,2.8255432439317723,2.8255432439317723,0.0,0.0,0.0,104.60180375136592
2016-08-07,99.53332611380783,55.27144490075504,127.34626778027635,99.53332611380783,99.53332611380783,-8.114469372874625,-8.114469372874625,-8.114469372874625,-10.932887934210553,-10.932887934210553,-10.932887934210553,2.8184185613359283,2.8184185613359283,2.8184185613359283,0.0,0.0,0.0,91.41885674093321
